recent_team,season,Air_Yards,Sack_Rate,Dakota,EPA_prior,EPA_post
DET,2022,6.9263308266384485,0.03729747963110026,0.11581189503469265,0.03512825486680182,9.071356533792175
GB,2018,8.964688821154317,0.09625234476732535,0.07841693345210822,2.6916610002762047,0.1679580829992454
GB,2019,8.330402006295637,0.057112254605453265,0.10943211426266289,6.301008576224454,-0.639672838477786
GB,2020,7.794947945174604,0.025378077188083686,0.22227996795681118,6.678198205972521,8.401745907371339
GB,2021,7.818727400295015,0.05392998240087195,0.15365737463319482,3.4792625771970496,7.114271157550525
GB,2022,7.578554129414226,0.05309851280035637,0.10368721945217306,-2.349638351087126,2.3066936322902527
HOU,2018,8.490277941064333,0.11133081803660051,0.13935489411883864,3.359557142936353,3.43838425054159
HOU,2019,8.73967822497428,0.14729843739254908,0.13397577353455256,8.802764720428591,-1.5489070435485572
HOU,2020,9.493682755096144,0.0815176618426868,0.16306387481256523,8.448583225492268,6.460624867674063
HOU,2021,7.263516891105381,0.0834970809997796,0.07955332981869907,-3.6048678916861996,-2.7290273356224595
HOU,2022,6.512587258195098,0.0660954770666257,0.0345405909831353,-5.105271069713933,-4.235612712498019
IND,2018,9.890251775328071,0.019240352099384298,0.13555170458478313,3.3643629623382365,7.685820252660497
IND,2019,7.725038140449422,0.06850909562983866,0.06631777994583542,2.4520013735792845,-3.721745224344729
IND,2020,7.711625812141211,0.039771660905309765,0.1408970334967419,3.833890778052656,3.357912348638135
IND,2021,7.974357419240879,0.051550705236371584,0.06970083042547318,1.821443978032015,-1.029169683579474
IND,2022,6.553041526776255,0.10569561563700614,0.048588294619906915,-4.84785164579972,-6.209366718954787
JAX,2018,6.772600939949528,0.12233754221696794,0.044790362720862086,-1.8112994935414255,-5.1025850397698385
JAX,2019,7.578977018078453,0.07235724853805846,0.06306770623062591,0.8588415346357582,-4.487256459372006
JAX,2020,7.823620129558973,0.07447861274784058,0.06867340110949904,2.3811479748419466,-5.939997809463391
JAX,2021,8.171018832641225,0.05107925406135086,0.03659254214152804,-2.74978253082234,-3.3435762451934514
JAX,2022,6.841786422421365,0.04882987023965786,0.11136646124013796,2.7347078100264173,4.052494462236039
KC,2018,8.957628656865232,0.04298485982122708,0.20844062295465315,15.943139225361627,9.94963835862722
KC,2019,7.464191590886748,0.035196623200926876,0.15197484113489465,8.313802593926965,5.915692157046114
KC,2020,7.2658911783090065,0.06336253140930538,0.1771155249644136,11.644162942575607,9.820127920384708
KC,2021,7.347718630237554,0.03663924006830061,0.15702240010437069,6.484525266674552,7.176107362719747
KC,2022,6.897173326723419,0.03598681110754185,0.17489519030970155,11.345187155659183,8.797400650850447
LA,2018,8.03519188506207,0.04991626343502496,0.1499390815680131,10.532996137552367,1.2974125118982103
LA,2019,7.329590140162472,0.034322369178768374,0.10176028479196929,5.087075901962659,2.0666507441081996
LA,2020,6.74137149084137,0.044264154451183244,0.10433084897336968,3.1194786887044126,-0.4333717256240178
LA,2021,8.087202611055263,0.07240018366175674,0.14334983546534563,7.938875554486258,2.843539126041531
LA,2022,6.7051301410659105,0.09855458560943321,0.0467404300763374,-3.1742644925916035,-2.8415758120229837
LAC,2018,7.060928003036729,0.05019538050735525,0.16693302861622375,8.803080628039345,4.2830545448083
LAC,2019,8.373954375395241,0.047942219529301,0.13789193094841112,4.289168286922992,2.6836244403767804
LAC,2020,7.317497608481495,0.05312287855031479,0.12153004525676603,5.943786368149016,4.448869087399414
LAC,2021,7.4558246166584405,0.043545728883692666,0.1295782912244174,6.295849824782421,6.781790516544731
LAC,2022,5.342583717011973,0.07170355212632964,0.09944475962829318,0.6214230773232998,1.6552632445608226
LV,2018,6.459839208004148,0.10660783465558595,0.1061958225497125,0.32611104102985305,-0.7495641094822155
LV,2019,7.230907216634471,0.04880275726574672,0.14239675647960987,7.665821329202696,3.4641047477010214
LV,2020,7.83090735945492,0.0737375585596482,0.13326373629545596,5.777787531098429,1.8804890381451602
LV,2021,8.924237192184146,0.044268359632873795,0.11418013085076208,4.036433802357961,-0.6812396333057065
LV,2022,9.162583943887693,0.05816357407344679,0.0742999624607803,1.797307228683662,0.8877438551758077
MIA,2018,8.218373688985197,0.10925873483007904,0.09352502962903825,-1.520633740652184,-6.251491449162934
MIA,2019,9.018371908935285,0.10361041296107837,0.0649656772172455,-4.535563628814693,3.784773057710462
MIA,2020,7.489996486864561,0.062311101020217904,0.12706829043198223,3.2037410156421546,0.42433596070178703
MIA,2021,7.660712900268896,0.06969447032315251,0.08356771708273657,-1.240499807306016,1.0755404093624736
MIA,2022,8.943023806406226,0.07322643462821232,0.09001325679207259,5.494259744829163,-0.5338553755278128
MIN,2018,7.2998988022109055,0.06752913208740365,0.09478452873182476,1.6209745520674472,-3.807207172841337
MIN,2019,7.387029637949704,0.052996763334882686,0.16876026919656908,7.840678212344285,0.5714102857800568
MIN,2020,8.093317541484197,0.07722005202099502,0.159858805049702,4.612797086484111,6.848380795094955
MIN,2021,7.8503281734997765,0.05076649746688815,0.10579810923559518,5.70279655194194,1.345806290192597
MIN,2022,6.8124880293196055,0.059759856399438475,0.11530294560786673,-0.611974347349621,3.0341392348895693
NE,2018,7.234182246425303,0.02815646458179478,0.12874327873588876,4.507684396042475,3.9965477852194056
NE,2019,7.220226233323382,0.0554580078903249,0.08588171215573481,3.3344915514521247,-2.666889617730893
NE,2020,6.881382733466619,0.09787025070527945,0.0481289130804836,-1.1060529890122797,-1.98151669747957
NE,2021,7.777462074015783,0.042994021998178006,0.12432009784720488,1.4649720496973186,5.04841622445312
NE,2022,7.59319343750708,0.08045994897775084,0.06092517779271459,-1.2632503825460115,-1.1189927462918128
NO,2018,10.203455969404358,0.019074021953430373,0.19797868826845752,7.427994033262355,2.2976455691139477
NO,2019,8.172302193138435,0.04527225064250768,0.14225342924023454,2.7078154263254937,3.63376641841271
NO,2020,6.169926044735962,0.0351722467998555,0.11219708576743972,3.8126425530200665,0.6433935803848231
NO,2021,7.461740126904858,0.057606821919393036,0.09172348130745683,1.1163376662391271,-3.8912216337441747
NO,2022,10.222606429456507,0.06478808013064957,0.0829635584408214,0.8436357792775957,0.5763779612221307
NYG,2018,7.77874682433472,0.0796617410474729,0.09543353217607635,-1.0706204523543255,3.2992092633351273
NYG,2019,7.648153620073481,0.06300709016595377,0.05947138588231484,-5.107334523846183,0.3356167944535272
NYG,2020,8.127256727909963,0.12316995798611263,0.05423258365849291,-2.996130577179158,-0.6866184917633569
